INFO  - 2014-12-11 21:19:28.862; org.apache.solr.rest.schema.analysis.ManagedSynonymFilterFactory$SynonymManager; Loaded 3 synonym mappings for /schema/analysis/synonyms/english
INFO  - 2014-12-11 21:19:28.864; org.apache.solr.rest.ManagedResource; Notified 1 observers of /schema/analysis/synonyms/english
INFO  - 2014-12-11 21:19:28.864; org.apache.solr.handler.component.SpellCheckComponent; Initializing spell checkers
INFO  - 2014-12-11 21:19:28.869; org.apache.solr.spelling.DirectSolrSpellChecker; init: {name=default,field=text,classname=solr.DirectSolrSpellChecker,distanceMeasure=internal,accuracy=0.5,maxEdits=2,minPrefix=1,maxInspections=5,minQueryLength=4,maxQueryFrequency=0.01}
INFO  - 2014-12-11 21:19:28.874; org.apache.solr.handler.component.SpellCheckComponent; No queryConverter defined, using default converter
INFO  - 2014-12-11 21:19:28.875; org.apache.solr.handler.component.SuggestComponent; Initializing SuggestComponent
INFO  - 2014-12-11 21:19:28.876; org.apache.solr.spelling.suggest.SolrSuggester; init: {name=mySuggester,lookupImpl=FuzzyLookupFactory,dictionaryImpl=DocumentDictionaryFactory,field=cat,weightField=price,suggestAnalyzerFieldType=string}
INFO  - 2014-12-11 21:19:28.887; org.apache.solr.spelling.suggest.SolrSuggester; Dictionary loaded with params: {name=mySuggester,lookupImpl=FuzzyLookupFactory,dictionaryImpl=DocumentDictionaryFactory,field=cat,weightField=price,suggestAnalyzerFieldType=string}
INFO  - 2014-12-11 21:19:28.889; org.apache.solr.handler.component.QueryElevationComponent; Loading QueryElevation from: D:\Desktop\solr-4.10.1\example\solr\collection1\conf\elevate.xml
INFO  - 2014-12-11 21:19:28.919; org.apache.solr.handler.ReplicationHandler; Commits will be reserved for  10000
INFO  - 2014-12-11 21:19:28.920; org.apache.solr.core.QuerySenderListener; QuerySenderListener sending requests to Searcher@7fce9126[collection1] main{StandardDirectoryReader(segments_1:1:nrt)}
INFO  - 2014-12-11 21:19:28.920; org.apache.solr.core.CoreContainer; registering core: collection1
INFO  - 2014-12-11 21:19:28.922; org.apache.solr.servlet.SolrDispatchFilter; user.dir=D:\Desktop\solr-4.10.1\example
INFO  - 2014-12-11 21:19:28.923; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init() done
